match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team,r_carry,r_disabler,r_durable,r_escape,r_initiator,r_jungler,r_nuker,r_pusher,r_support,d_carry,d_disabler,d_durable,d_escape,d_initiator,d_jungler,d_nuker,d_pusher,d_support
7406073501,6234291249,True,1698597208,1367,4150.0,2.0,7,22,73,8,227,"[104, 49, 83, 8, 101]","[69, 67, 53, 27, 29]",3,4,3,2,3,0,3,2,2,4,3,3,2,3,0,4,2,1
7406072515,6234307757,False,1698597167,2030,3566.0,2.0,7,22,71,5,192,"[83, 46, 36, 30, 63]","[74, 42, 22, 10, 64]",3,3,2,3,1,0,2,0,2,4,4,2,2,1,0,4,2,2
7406072208,6234294404,True,1698597172,1511,3354.0,3.0,7,22,71,4,381,"[11, 27, 100, 129, 25]","[69, 51, 71, 31, 93]",3,4,1,0,3,0,4,1,2,3,4,3,2,3,0,4,0,1
7406072203,6234296542,True,1698597169,1617,4074.0,1.0,7,22,73,7,152,"[74, 123, 71, 10, 129]","[64, 63, 121, 14, 13]",4,5,3,4,2,0,3,1,1,1,4,1,3,2,0,4,1,2
7406071702,6234290051,False,1698597144,1398,4895.0,3.0,7,22,81,5,122,"[36, 99, 44, 45, 30]","[23, 63, 138, 68, 16]",3,2,2,1,1,0,4,1,1,3,4,1,2,2,0,4,0,3
7406071606,6234319537,True,1698597133,2529,3502.0,2.0,7,22,71,6,184,"[53, 2, 121, 42, 63]","[31, 81, 29, 25, 45]",4,3,2,3,2,0,2,1,2,3,3,2,0,2,0,4,2,2
7406071404,6234298577,False,1698597138,1730,5872.0,1.0,7,22,81,2,191,"[50, 105, 53, 16, 54]","[1, 63, 138, 14, 75]",2,4,1,3,1,0,4,1,2,4,3,1,2,2,0,4,0,1
7406071202,6234325436,False,1698597139,2771,4322.0,4.0,7,22,74,6,273,"[50, 37, 78, 64, 10]","[81, 39, 27, 73, 83]",2,5,2,1,2,0,4,1,3,3,4,3,2,4,0,3,2,3
7406070913,6234311410,True,1698597117,2195,,,0,22,71,3,182,"[26, 106, 60, 114, 74]","[34, 110, 54, 71, 99]",4,5,1,3,4,0,4,1,1,4,3,3,3,3,0,3,1,1
7406070609,6234311886,True,1698597117,2266,3389.0,3.0,7,22,75,7,271,"[26, 71, 113, 20, 32]","[81, 50, 63, 138, 58]",3,4,1,4,3,0,3,0,2,3,4,2,1,1,0,2,2,2
7406070116,6234343328,True,1698597097,3462,4230.0,3.0,7,22,81,8,184,"[59, 97, 119, 71, 8]","[102, 23, 88, 93, 74]",3,3,2,4,3,0,2,1,1,4,4,2,3,2,0,4,1,2
7406070008,6234294872,False,1698597098,1584,3983.0,2.0,0,22,74,7,153,"[121, 31, 19, 42, 41]","[97, 32, 68, 80, 119]",3,4,3,2,3,0,3,1,3,2,4,1,3,1,0,3,1,2
7406069606,6234319672,False,1698597083,2584,3540.0,2.0,7,22,71,5,151,"[45, 44, 123, 39, 96]","[53, 63, 23, 81, 37]",2,2,1,4,1,0,4,1,1,4,3,2,2,3,0,2,2,2
7406069214,6234320142,True,1698597067,2601,3949.0,4.0,7,22,71,8,153,"[67, 28, 53, 88, 37]","[126, 14, 43, 20, 138]",3,3,2,4,3,0,2,1,1,3,5,1,2,2,0,5,1,1
7406068402,6234312048,True,1698597043,2347,,,7,22,81,9,185,"[57, 99, 26, 101, 17]","[67, 53, 21, 97, 68]",2,3,2,1,3,0,5,0,3,3,3,1,4,1,0,4,1,2
7406067716,6234295917,True,1698597019,1716,3946.0,2.0,7,22,72,5,381,"[21, 8, 86, 37, 63]","[44, 73, 50, 36, 14]",3,3,0,3,1,0,2,1,3,3,4,3,1,2,0,4,0,2
7406067014,6234297840,False,1698596999,1851,,,7,22,73,4,184,"[101, 67, 53, 50, 137]","[12, 28, 27, 30, 46]",2,3,2,2,1,0,3,1,2,3,3,1,3,2,0,3,2,2
7406066805,6234296670,True,1698596979,1750,3578.0,4.0,7,22,81,8,272,"[14, 23, 44, 53, 40]","[45, 54, 63, 104, 112]",3,3,2,2,3,0,4,2,2,3,3,2,2,1,0,3,1,1
7406066509,6234297186,False,1698596983,1857,4278.0,6.0,7,3,75,9,227,"[67, 26, 2, 114, 138]","[71, 55, 64, 47, 63]",4,4,2,2,3,0,2,0,1,3,4,2,3,3,0,1,1,1
7406066417,6234323139,True,1698596979,2851,4023.0,1.0,7,22,71,3,185,"[25, 100, 37, 136, 81]","[83, 70, 96, 46, 74]",3,5,1,1,4,0,2,1,3,3,4,3,4,2,0,2,1,1
7406066212,6234321318,False,1698596973,2640,4624.0,2.0,7,22,71,5,273,"[22, 63, 25, 2, 5]","[11, 50, 71, 121, 67]",4,3,1,1,1,0,3,0,2,3,3,2,3,1,0,3,0,2
7406066203,6234312173,True,1698596959,2429,3565.0,4.0,7,22,72,6,191,"[135, 138, 14, 34, 81]","[97, 1, 25, 72, 22]",4,3,3,0,2,0,3,2,0,4,3,0,2,1,0,5,0,1
7406065801,6234296897,False,1698596948,1869,3982.0,4.0,7,22,81,5,181,"[71, 126, 81, 14, 138]","[23, 86, 123, 93, 92]",4,5,3,2,3,0,3,1,0,2,5,2,2,1,0,5,1,4
7406139109,6234338341,True,1698599609,839,4361.0,4.0,7,22,81,6,272,"[71, 45, 87, 12, 99]","[23, 137, 53, 37, 54]",3,2,2,2,3,0,4,2,1,3,4,3,2,3,0,2,1,2
7406127904,6234337415,True,1698599168,1201,4586.0,2.0,7,22,81,5,182,"[104, 72, 92, 14, 48]","[42, 7, 36, 121, 138]",3,4,3,0,2,0,5,2,1,3,5,2,1,2,0,4,0,3
7406124902,6234336785,True,1698599053,1276,5288.0,2.0,7,22,81,2,272,"[67, 2, 84, 102, 56]","[96, 83, 42, 63, 50]",4,2,4,2,2,0,1,1,2,2,4,3,3,3,0,2,0,3
7406119910,6234324723,False,1698598858,1058,5000.0,1.0,7,22,74,3,273,"[35, 119, 121, 104, 42]","[103, 63, 80, 71, 110]",3,4,2,2,2,0,4,0,3,3,3,3,3,3,0,2,1,1
7406117516,6234339523,False,1698598773,1598,3687.0,2.0,7,22,81,6,273,"[44, 53, 62, 97, 136]","[19, 41, 121, 71, 68]",3,2,0,5,2,0,3,1,1,3,5,3,3,3,0,3,1,2
7406111717,6234336853,True,1698598562,1692,5468.0,2.0,7,22,81,5,182,"[42, 137, 64, 63, 81]","[78, 45, 46, 121, 4]",3,4,3,1,3,0,1,2,2,3,3,1,2,2,0,4,1,1
7406108418,6234333764,True,1698598432,1828,,,7,22,81,3,184,"[53, 70, 101, 23, 106]","[2, 68, 21, 10, 107]",4,4,2,2,2,0,4,1,2,3,5,3,3,2,0,4,0,2
7406108104,6234325466,False,1698598387,1526,3548.0,2.0,0,4,72,4,381,"[31, 30, 39, 19, 62]","[41, 71, 104, 126, 75]",2,2,1,2,1,0,5,1,2,5,5,3,3,4,0,3,0,1
7406107712,6234323541,True,1698598413,1327,5795.0,1.0,7,22,81,5,122,"[81, 59, 27, 83, 89]","[18, 114, 57, 85, 100]",3,4,3,2,5,0,1,3,3,2,4,3,1,3,0,4,0,2
7406106219,6234342431,False,1698598359,2197,4162.0,2.0,7,22,71,4,152,"[14, 34, 67, 71, 45]","[54, 121, 31, 56, 42]",3,2,3,2,2,0,3,2,0,3,3,2,3,1,0,2,1,3
7406104005,6234339834,False,1698598244,2266,2820.0,2.0,7,22,74,5,185,"[48, 86, 13, 2, 53]","[50, 76, 70, 68, 26]",3,3,1,2,2,0,4,2,1,2,5,1,0,1,0,4,0,3
7406103810,6234342168,False,1698598268,2397,4492.0,3.0,7,22,81,6,273,"[63, 83, 23, 14, 76]","[99, 50, 56, 42, 138]",3,4,3,2,3,0,3,0,2,4,3,2,1,2,0,3,1,2
7406102614,6234323537,True,1698598223,1619,4475.0,2.0,7,22,72,4,182,"[10, 121, 57, 74, 7]","[63, 100, 102, 36, 11]",2,4,2,3,1,0,5,1,3,4,2,2,1,1,0,3,0,1
7406102001,6234330274,True,1698598204,1922,2856.0,3.0,7,22,81,6,153,"[83, 14, 119, 76, 18]","[96, 68, 67, 46, 69]",2,5,3,2,3,0,4,0,2,3,3,3,3,2,0,3,0,1
7406100801,6234323054,True,1698598159,1691,2588.0,2.0,7,22,73,2,381,"[14, 62, 81, 5, 7]","[71, 83, 93, 21, 123]",1,4,2,1,3,0,4,1,2,3,5,2,5,2,0,3,0,3
7406099907,6234330142,False,1698598129,1983,3542.0,2.0,7,22,71,8,272,"[75, 11, 42, 53, 66]","[45, 108, 72, 138, 111]",4,2,1,1,2,0,3,2,3,2,4,1,2,0,0,5,1,2
7406098719,6234339223,True,1698598083,2435,4762.0,2.0,7,22,71,5,184,"[81, 107, 121, 41, 5]","[99, 135, 63, 23, 14]",2,5,3,3,3,0,3,1,2,4,2,4,1,3,0,3,0,1
7406098514,6234327693,False,1698598077,1882,2521.0,1.0,7,22,81,4,271,"[44, 22, 121, 68, 71]","[14, 25, 46, 79, 110]",3,3,1,3,1,0,3,0,2,2,4,1,2,3,0,4,0,3
7406097918,6234318376,True,1698598047,1590,3987.0,3.0,7,22,73,7,152,"[50, 81, 60, 120, 30]","[76, 38, 67, 138, 87]",3,5,3,1,3,0,4,1,2,3,4,2,1,2,0,4,0,1
7406096802,6234331650,False,1698598018,2158,4665.0,1.0,7,22,81,2,183,"[95, 110, 34, 37, 97]","[23, 135, 76, 81, 30]",2,4,1,2,3,0,3,2,2,4,4,3,0,2,0,3,1,2
7406096508,6234327197,True,1698598003,1957,4865.0,1.0,7,22,81,7,184,"[80, 46, 14, 107, 128]","[10, 5, 68, 81, 28]",2,3,3,3,2,0,3,1,1,3,5,3,2,2,0,3,1,2
7406094613,6234321332,False,1698597918,1764,4724.0,2.0,7,22,71,5,181,"[81, 44, 75, 34, 86]","[83, 97, 121, 29, 4]",4,3,1,1,2,0,3,2,2,2,5,2,3,4,0,4,0,2
7406094501,6234325548,False,1698597932,2011,3867.0,2.0,7,22,73,8,181,"[82, 81, 55, 14, 83]","[26, 54, 28, 121, 90]",2,5,3,3,5,0,2,2,1,2,5,2,3,2,0,3,0,3
7406094318,6234341824,True,1698597932,2690,3993.0,5.0,7,22,71,7,181,"[129, 102, 73, 21, 48]","[8, 123, 76, 71, 45]",5,3,3,1,2,0,3,1,3,3,3,1,3,1,0,3,2,1
7406094215,6234337359,True,1698597917,2523,3981.0,3.0,7,22,71,5,183,"[10, 36, 31, 42, 35]","[100, 110, 67, 14, 66]",4,3,3,1,1,0,4,0,2,1,3,2,2,3,0,3,1,2
7406092912,6234330017,False,1698597868,2205,2482.0,2.0,7,22,72,5,251,"[2, 83, 8, 120, 121]","[100, 81, 67, 14, 59]",3,4,3,4,3,0,2,1,2,3,3,4,1,4,0,2,1,0
7406092400,6234335230,True,1698597858,2487,3896.0,2.0,7,22,72,6,151,"[126, 63, 5, 97, 30]","[71, 36, 70, 26, 86]",2,4,0,3,1,0,4,0,2,3,5,3,1,2,0,3,0,2
7406092205,6234318058,True,1698597858,1784,5113.0,1.0,7,22,72,3,152,"[126, 2, 37, 40, 10]","[1, 22, 71, 97, 99]",3,5,2,2,3,0,3,1,2,4,2,2,3,3,0,4,0,0
7406091301,6234326565,False,1698597809,2144,4505.0,1.0,7,22,81,3,274,"[32, 46, 25, 99, 126]","[88, 55, 59, 20, 6]",5,3,1,3,1,0,3,0,1,2,4,1,3,4,0,2,1,1
7406090002,6234305612,False,1698597774,1366,2382.0,1.0,7,22,81,2,274,"[71, 135, 48, 23, 83]","[63, 75, 14, 138, 74]",4,3,4,2,3,0,2,1,2,4,4,1,2,2,0,4,1,1
7406088814,6234328959,True,1698597734,2323,4005.0,5.0,7,22,73,8,181,"[136, 18, 9, 104, 126]","[75, 74, 83, 14, 4]",5,5,2,3,3,0,4,0,2,3,5,2,2,4,0,4,1,2
7406088611,6234333622,False,1698597733,2541,,,7,22,71,3,151,"[86, 10, 85, 135, 76]","[9, 11, 23, 57, 37]",3,4,3,1,0,0,4,0,2,3,3,2,1,2,0,4,0,4
7406087617,6234333555,True,1698597699,2510,4163.0,5.0,7,22,71,7,192,"[138, 31, 30, 7, 23]","[42, 14, 36, 25, 72]",2,4,1,0,2,0,5,0,4,4,5,3,0,2,0,4,0,2
7406087614,6234327965,False,1698597699,2266,3280.0,1.0,7,22,73,6,182,"[88, 114, 21, 74, 138]","[2, 49, 20, 46, 107]",4,5,0,4,2,0,4,1,1,3,4,3,3,4,0,3,1,1
7406087204,6234321959,True,1698597673,2105,3477.0,2.0,7,22,74,5,185,"[67, 30, 11, 96, 112]","[35, 26, 56, 42, 135]",2,3,2,2,1,0,4,0,2,4,2,2,1,2,0,2,1,2
7406087202,6234309382,False,1698597663,1565,4337.0,1.0,7,22,81,6,273,"[136, 96, 41, 30, 107]","[53, 97, 23, 138, 99]",2,5,3,4,4,0,3,0,2,4,3,2,2,3,0,5,1,1
7406086807,6234334580,True,1698597668,2504,4451.0,1.0,7,22,81,2,272,"[83, 137, 81, 63, 138]","[29, 10, 11, 53, 128]",3,4,3,2,3,0,1,1,1,4,3,2,3,1,0,5,1,1
7406086803,6234337653,True,1698597647,2764,,,7,22,75,3,251,"[70, 30, 56, 71, 68]","[44, 62, 97, 53, 99]",3,4,2,2,1,0,2,1,2,3,1,1,4,2,0,4,1,0
7406086313,6234309404,True,1698597654,1589,3547.0,1.0,7,22,81,3,181,"[43, 35, 14, 20, 81]","[12, 99, 37, 121, 71]",3,4,2,1,3,0,4,2,1,3,3,2,3,3,0,3,1,2
7406085110,6234336562,True,1698597609,2803,2895.0,2.0,7,22,72,8,183,"[23, 57, 25, 97, 18]","[14, 56, 138, 74, 99]",3,4,3,1,3,0,5,0,3,4,3,2,2,2,0,4,2,0
7406084715,6234316692,False,1698597599,1949,3310.0,1.0,7,22,74,6,273,"[55, 68, 44, 30, 36]","[67, 75, 71, 34, 66]",2,4,1,2,1,0,3,0,2,4,2,2,2,2,0,2,2,2
7406083604,6234313104,False,1698597548,1853,4349.0,2.0,7,22,71,5,153,"[12, 14, 138, 81, 46]","[137, 119, 1, 87, 35]",4,3,2,2,2,0,3,2,0,2,3,1,2,2,0,4,0,2
7406083601,6234322724,True,1698597549,2256,4390.0,1.0,7,22,72,5,185,"[88, 59, 68, 97, 48]","[18, 37, 14, 121, 84]",2,3,1,2,3,0,4,1,1,1,5,3,1,4,0,4,0,3
7406083115,6234304727,True,1698597542,1578,4448.0,2.0,7,22,81,7,154,"[43, 81, 41, 71, 40]","[42, 83, 2, 9, 23]",4,5,3,2,4,0,2,3,1,4,5,4,2,4,0,2,0,4
7406083011,6234329647,True,1698597539,2526,,,7,22,72,5,185,"[99, 41, 121, 23, 50]","[25, 26, 48, 119, 88]",3,4,3,2,3,0,4,0,3,2,4,0,2,2,0,5,1,3
7406082900,6234319523,True,1698597533,2105,,,7,22,72,4,251,"[88, 107, 114, 14, 18]","[135, 128, 46, 100, 41]",2,5,3,3,5,0,4,0,0,3,3,2,3,2,0,2,0,1
7406082609,6234322044,True,1698597517,2195,4015.0,1.0,7,22,81,3,192,"[23, 14, 39, 136, 63]","[88, 74, 121, 28, 93]",4,3,2,3,3,0,3,0,2,3,5,1,5,2,0,4,1,1
7406081617,6234306203,True,1698597488,1686,3890.0,4.0,7,22,71,9,236,"[42, 67, 105, 28, 64]","[44, 30, 25, 78, 66]",3,4,3,2,2,0,2,1,2,3,3,1,1,1,0,3,1,3
7406081609,6234318027,True,1698597483,2149,5137.0,2.0,7,22,75,6,274,"[99, 58, 119, 36, 54]","[30, 45, 96, 63, 34]",3,4,4,2,1,0,3,1,2,2,2,1,2,1,0,4,2,1
7406081511,6234317311,True,1698597478,2115,1182.0,1.0,7,22,71,3,381,"[104, 14, 63, 23, 26]","[74, 2, 84, 31, 44]",3,4,3,1,4,0,4,0,2,3,3,2,2,2,0,3,1,2
7406081011,6234326023,True,1698597469,2440,4896.0,1.0,7,22,81,3,273,"[100, 36, 48, 14, 110]","[54, 2, 128, 22, 23]",2,4,2,1,3,0,5,1,1,4,4,3,2,2,0,3,0,2
7406080709,6234327582,False,1698597458,2539,5207.0,5.0,0,22,74,9,236,"[11, 138, 108, 16, 86]","[21, 63, 121, 71, 14]",2,4,1,2,1,0,5,0,3,3,4,2,4,2,0,3,0,2
7406080607,6234319321,False,1698597448,2248,3824.0,3.0,7,22,73,5,181,"[22, 138, 79, 74, 36]","[67, 82, 85, 50, 14]",4,4,1,1,1,0,5,1,1,2,4,3,2,2,0,4,1,2
7406080518,6234317891,False,1698597453,2004,5028.0,1.0,7,22,81,5,274,"[81, 34, 138, 67, 14]","[50, 106, 119, 44, 96]",4,3,3,1,2,0,3,2,0,2,4,1,4,2,0,4,0,2
7406080415,6234338045,False,1698597437,3009,4411.0,3.0,7,22,71,4,154,"[75, 22, 72, 45, 32]","[53, 81, 48, 21, 69]",4,3,0,1,1,0,4,1,1,5,3,2,2,2,0,4,3,1
7406080113,6234334053,False,1698597438,2850,4168.0,2.0,7,22,75,6,181,"[123, 34, 15, 30, 114]","[41, 104, 31, 36, 21]",3,3,1,2,1,0,4,2,2,4,4,3,2,2,0,4,0,2
7406080108,6234323923,True,1698597438,2298,5871.0,3.0,7,22,81,6,271,"[2, 41, 119, 22, 96]","[138, 99, 53, 135, 114]",3,4,3,3,3,0,3,0,1,5,2,2,2,2,0,3,1,0
7406080100,6234316962,True,1698597422,2149,4925.0,6.0,7,3,81,9,227,"[20, 73, 62, 44, 43]","[47, 83, 2, 9, 54]",3,3,1,3,2,0,4,1,2,4,5,4,3,3,0,1,0,2
7406080003,6234338328,False,1698597433,3064,2541.0,2.0,7,22,73,5,184,"[6, 104, 14, 25, 138]","[78, 90, 37, 126, 121]",4,5,2,0,2,0,4,1,1,2,5,1,2,2,0,4,0,3
7406079711,6234313964,False,1698597419,2021,4419.0,2.0,7,22,81,6,183,"[79, 101, 109, 39, 23]","[74, 86, 29, 8, 120]",3,3,1,1,2,0,5,1,3,4,4,2,3,2,0,4,2,1
7406079514,6234313373,True,1698597419,2025,5322.0,3.0,7,22,74,5,121,"[121, 97, 70, 128, 66]","[71, 67, 14, 110, 119]",1,4,1,3,1,0,3,1,3,2,4,3,4,3,0,3,0,2
7406078706,6234313903,False,1698597383,2080,2845.0,3.0,7,22,73,7,184,"[2, 77, 44, 50, 121]","[67, 57, 86, 22, 17]",3,3,2,3,1,0,2,1,2,3,2,2,2,1,0,4,0,2
7406078608,6234323540,True,1698597378,2458,4249.0,4.0,7,22,71,6,122,"[50, 22, 81, 85, 93]","[36, 12, 7, 138, 135]",3,4,2,1,1,0,4,1,2,4,3,2,1,1,0,4,1,1
7406077717,6234318336,False,1698597358,2293,4496.0,3.0,7,22,72,7,273,"[100, 50, 70, 71, 85]","[119, 53, 14, 114, 47]",2,5,3,1,2,0,3,0,2,3,4,2,3,3,0,3,1,1
7406077517,6234339002,False,1698597349,3086,4313.0,1.0,7,22,74,5,274,"[121, 42, 71, 25, 30]","[50, 138, 67, 53, 97]",3,5,2,2,2,0,3,0,4,3,3,1,3,1,0,4,1,1
7406076810,6234337394,False,1698597318,3124,4663.0,2.0,7,22,74,6,192,"[138, 25, 84, 39, 36]","[7, 30, 137, 13, 41]",4,4,2,1,1,0,5,0,2,1,5,2,2,4,0,3,0,2
7406076707,6234330670,True,1698597323,2840,4555.0,4.0,0,22,72,8,271,"[103, 97, 1, 100, 114]","[27, 99, 67, 13, 5]",2,4,1,3,4,0,4,0,0,2,3,2,2,3,0,4,1,2
7406076702,6234316538,True,1698597322,2235,3684.0,3.0,7,22,71,7,183,"[80, 53, 67, 36, 93]","[119, 30, 81, 25, 96]",5,2,3,3,0,0,3,2,0,2,5,2,2,2,0,4,1,3
7406076407,6234331307,True,1698597313,2877,3318.0,5.0,7,22,75,5,192,"[119, 51, 1, 20, 42]","[68, 93, 2, 25, 46]",2,4,2,3,3,0,4,0,3,4,4,1,2,1,0,3,0,2
7406076307,6234326259,False,1698597293,2573,2543.0,2.0,7,22,81,4,274,"[14, 46, 63, 39, 20]","[121, 41, 45, 29, 113]",3,2,1,4,2,0,3,0,1,3,3,2,3,2,0,4,1,1
7406075912,6234306874,True,1698597284,1876,4682.0,2.0,7,22,74,6,182,"[13, 40, 29, 86, 54]","[135, 33, 95, 46, 74]",2,5,2,2,3,0,4,1,2,4,3,2,2,1,0,1,3,0
7406075203,6234309434,True,1698597243,2024,4085.0,2.0,7,22,81,6,272,"[23, 45, 63, 138, 14]","[78, 41, 20, 121, 119]",3,3,2,1,2,0,4,1,1,2,5,2,4,3,0,4,0,3
7406074819,6234298092,False,1698597258,1512,5524.0,4.0,7,22,81,7,153,"[53, 97, 70, 120, 90]","[68, 81, 2, 62, 22]",3,4,2,3,2,0,4,1,1,3,3,2,1,2,0,3,1,1
7406074304,6234339260,True,1698597242,3270,4491.0,2.0,7,22,73,6,271,"[97, 25, 20, 41, 36]","[121, 30, 14, 44, 19]",3,5,2,3,3,0,4,0,2,2,4,2,2,2,0,4,1,2
7406073501,6234291249,True,1698597208,1367,4150.0,2.0,7,22,73,8,227,"[83, 49, 104, 101, 8]","[53, 67, 69, 29, 27]",3,4,3,2,3,0,3,2,2,4,3,3,2,3,0,4,2,1
7406072515,6234307757,False,1698597167,2030,3566.0,2.0,7,22,71,5,192,"[63, 83, 30, 36, 46]","[64, 74, 10, 22, 42]",3,3,2,3,1,0,2,0,2,4,4,2,2,1,0,4,2,2
7406072208,6234294404,True,1698597172,1511,3354.0,3.0,7,22,71,4,381,"[25, 100, 27, 129, 11]","[93, 71, 51, 31, 69]",3,4,1,0,3,0,4,1,2,3,4,3,2,3,0,4,0,1
7406072203,6234296542,True,1698597169,1617,4074.0,1.0,7,22,73,7,152,"[129, 74, 10, 71, 123]","[13, 64, 14, 121, 63]",4,5,3,4,2,0,3,1,1,1,4,1,3,2,0,4,1,2
7406071702,6234290051,False,1698597144,1398,4895.0,3.0,7,22,81,5,122,"[44, 45, 30, 99, 36]","[138, 68, 16, 63, 23]",3,2,2,1,1,0,4,1,1,3,4,1,2,2,0,4,0,3
7406071606,6234319537,True,1698597133,2529,3502.0,2.0,7,22,71,6,184,"[63, 42, 121, 2, 53]","[45, 25, 29, 81, 31]",4,3,2,3,2,0,2,1,2,3,3,2,0,2,0,4,2,2
7406071404,6234298577,False,1698597138,1730,5872.0,1.0,7,22,81,2,191,"[50, 105, 54, 16, 53]","[1, 63, 75, 14, 138]",2,4,1,3,1,0,4,1,2,4,3,1,2,2,0,4,0,1
7406071202,6234325436,False,1698597139,2771,4322.0,4.0,7,22,74,6,273,"[50, 10, 37, 78, 64]","[81, 83, 39, 27, 73]",2,5,2,1,2,0,4,1,3,3,4,3,2,4,0,3,2,3
7406070913,6234311410,True,1698597117,2195,,,0,22,71,3,182,"[106, 60, 114, 26, 74]","[110, 54, 71, 34, 99]",4,5,1,3,4,0,4,1,1,4,3,3,3,3,0,3,1,1
7406070609,6234311886,True,1698597117,2266,3389.0,3.0,7,22,75,7,271,"[26, 20, 113, 71, 32]","[81, 138, 63, 50, 58]",3,4,1,4,3,0,3,0,2,3,4,2,1,1,0,2,2,2
7406070008,6234294872,False,1698597098,1584,3983.0,2.0,0,22,74,7,153,"[42, 19, 31, 121, 41]","[80, 68, 32, 97, 119]",3,4,3,2,3,0,3,1,3,2,4,1,3,1,0,3,1,2
7406069606,6234319672,False,1698597083,2584,3540.0,2.0,7,22,71,5,151,"[96, 45, 39, 123, 44]","[37, 53, 81, 23, 63]",2,2,1,4,1,0,4,1,1,4,3,2,2,3,0,2,2,2
7406069214,6234320142,True,1698597067,2601,3949.0,4.0,7,22,71,8,153,"[53, 88, 37, 67, 28]","[43, 20, 138, 126, 14]",3,3,2,4,3,0,2,1,1,3,5,1,2,2,0,5,1,1
7406068402,6234312048,True,1698597043,2347,,,7,22,81,9,185,"[99, 26, 101, 17, 57]","[53, 21, 97, 68, 67]",2,3,2,1,3,0,5,0,3,3,3,1,4,1,0,4,1,2
7406067716,6234295917,True,1698597019,1716,3946.0,2.0,7,22,72,5,381,"[86, 8, 37, 63, 21]","[50, 73, 36, 14, 44]",3,3,0,3,1,0,2,1,3,3,4,3,1,2,0,4,0,2
7406067014,6234297840,False,1698596999,1851,,,7,22,73,4,184,"[67, 53, 50, 137, 101]","[28, 27, 30, 46, 12]",2,3,2,2,1,0,3,1,2,3,3,1,3,2,0,3,2,2
7406066805,6234296670,True,1698596979,1750,3578.0,4.0,7,22,81,8,272,"[40, 53, 44, 23, 14]","[112, 104, 63, 54, 45]",3,3,2,2,3,0,4,2,2,3,3,2,2,1,0,3,1,1
7406066509,6234297186,False,1698596983,1857,4278.0,6.0,7,3,75,9,227,"[114, 2, 26, 67, 138]","[47, 64, 55, 71, 63]",4,4,2,2,3,0,2,0,1,3,4,2,3,3,0,1,1,1
7406066417,6234323139,True,1698596979,2851,4023.0,1.0,7,22,71,3,185,"[81, 25, 100, 37, 136]","[74, 83, 70, 96, 46]",3,5,1,1,4,0,2,1,3,3,4,3,4,2,0,2,1,1
7406066212,6234321318,False,1698596973,2640,4624.0,2.0,7,22,71,5,273,"[25, 22, 63, 5, 2]","[71, 11, 50, 67, 121]",4,3,1,1,1,0,3,0,2,3,3,2,3,1,0,3,0,2
7406066203,6234312173,True,1698596959,2429,3565.0,4.0,7,22,72,6,191,"[81, 138, 14, 34, 135]","[22, 1, 25, 72, 97]",4,3,3,0,2,0,3,2,0,4,3,0,2,1,0,5,0,1
7406065801,6234296897,False,1698596948,1869,3982.0,4.0,7,22,81,5,181,"[126, 81, 14, 138, 71]","[86, 123, 93, 92, 23]",4,5,3,2,3,0,3,1,0,2,5,2,2,1,0,5,1,4
7406065209,6234333676,False,1698596939,3330,2518.0,2.0,7,22,72,4,274,"[121, 97, 53, 54, 14]","[75, 138, 23, 30, 63]",2,4,2,4,2,0,4,1,1,4,4,1,1,2,0,4,0,3
7406065119,6234320461,True,1698596939,2768,1529.0,1.0,7,22,71,4,181,"[107, 32, 93, 45, 74]","[22, 81, 101, 20, 8]",3,4,1,4,1,0,4,2,0,3,3,1,2,2,0,3,2,2
7406065107,6234292943,True,1698596937,1714,4934.0,4.0,7,22,81,5,153,"[22, 81, 121, 102, 6]","[14, 90, 69, 30, 42]",4,3,2,1,1,0,2,2,2,2,5,3,0,3,0,4,0,3
7406065005,6234292809,True,1698596932,1689,4383.0,1.0,7,22,73,4,272,"[41, 128, 71, 29, 121]","[27, 138, 73, 97, 36]",3,5,3,4,3,0,3,0,2,3,5,2,1,3,0,5,1,2
7406139109,6234338341,True,1698599609,839,4361.0,4.0,7,22,81,6,272,"[71, 45, 87, 12, 99]","[23, 137, 53, 37, 54]",3,2,2,2,3,0,4,2,1,3,4,3,2,3,0,2,1,2
7406127904,6234337415,True,1698599168,1201,4586.0,2.0,7,22,81,5,182,"[48, 104, 14, 92, 72]","[138, 42, 121, 36, 7]",3,4,3,0,2,0,5,2,1,3,5,2,1,2,0,4,0,3
7406124902,6234336785,True,1698599053,1276,5288.0,2.0,7,22,81,2,272,"[2, 67, 56, 102, 84]","[83, 96, 50, 63, 42]",4,2,4,2,2,0,1,1,2,2,4,3,3,3,0,2,0,3
7406123601,6234343284,True,1698598998,1682,3720.0,3.0,7,22,71,5,274,"[64, 104, 67, 110, 97]","[29, 37, 63, 22, 76]",2,4,2,3,3,0,4,1,2,4,3,1,1,2,0,3,0,1
7406119910,6234324723,False,1698598858,1058,5000.0,1.0,7,22,74,3,273,"[104, 119, 42, 35, 121]","[71, 63, 110, 103, 80]",3,4,2,2,2,0,4,0,3,3,3,3,3,3,0,2,1,1
